Text,Label,Cluster,Predicted Sentiment,Real Sentiment
im soooooo sleeeeepy last day school todaysniffle,2,Cluster 1,Negative,Neutral
little happy wine jeje ok itsm free time cares jaja love day,2,Cluster 1,Negative,Positive
happy star wars day everyone enjoy holiday uk,2,Cluster 1,Negative,Positive
happy mothers day mums,2,Cluster 1,Negative,Positive
aww love daddy works days week almost day still tries go sf us,2,Cluster 1,Negative,Neutral
nice see tweeting sunday th may celebrating mothers day today nice yer mom,2,Cluster 1,Negative,Neutral
today going normal day hope group pilots large airline come last night much drink,2,Cluster 1,Negative,Neutral
bevvies day twngreat day,2,Cluster 1,Negative,Neutral
today last day high school ended going home sick stupid dead rats,2,Cluster 1,Negative,Negative
lost tooth day whilst eating gumoww,2,Cluster 1,Negative,Neutral
happy year,2,Cluster 1,Negative,Positive
vote every day,2,Cluster 1,Negative,Neutral
sleeping lost voice couple day ago,2,Cluster 1,Negative,Neutral
happy mothers day moms,2,Cluster 1,Negative,Positive
bad day day realize mess youve put one happiest days life,2,Cluster 1,Negative,Positive
happy mothers day mothers world,2,Cluster 1,Negative,Neutral
happy monday going tavares today hope everyone blessed day,2,Cluster 1,Negative,Positive
well good morning wonderful day neighborhood thanks following another morning,2,Cluster 1,Negative,Positive
cant school done already hurts much seeing every day,2,Cluster 1,Negative,Neutral
thank teaching values better person day love much youre best mum world,2,Cluster 1,Negative,Positive
happy mothers day,2,Cluster 1,Negative,Positive
happy mothers day people love mom lot still,2,Cluster 1,Negative,Positive
today busy day exhausting,2,Cluster 1,Negative,Neutral
want wake early get coffee tomorrow today going busyy day keep writing booo whoo,2,Cluster 1,Negative,Neutral
gon na celebrate mothers day family gon na start partying tonite,2,Cluster 1,Negative,Neutral
woo cavs happy mothers day,2,Cluster 1,Negative,Positive
love mine happy mothers day mom john taylor much love,2,Cluster 1,Negative,Positive
loves mum much happy mothers day wonderful mothers,2,Cluster 1,Negative,Positive
makes day much better rough one mention love new photo,2,Cluster 1,Negative,Neutral
kiss feet people kick anything want morning everyone hope best day ever,2,Cluster 1,Negative,Positive
workin long day today hopefully make good tips,2,Cluster 1,Negative,Neutral
nyappy mothers day moms,2,Cluster 1,Negative,Neutral
miss alot one day,2,Cluster 1,Negative,Neutral
today lovely day fun evening,2,Cluster 1,Negative,Positive
around hours left day weekend waaaay much work,2,Cluster 1,Negative,Neutral
graduation day feel like failure,2,Cluster 1,Negative,Positive
bad hair day,2,Cluster 1,Negative,Negative
httptwitpiccomvvr cool mother awesome hair styles wish happy mothers day,2,Cluster 1,Negative,Positive
happy mothers day mothers,2,Cluster 1,Negative,Positive
stupid bipolar weather ruined day,2,Cluster 1,Negative,Negative
submitted resume day saw answer back oh well,2,Cluster 1,Negative,Neutral
ok good day,2,Cluster 1,Negative,Positive
first day summer sucks overcast cold isnt summer,2,Cluster 1,Negative,Neutral
says happy mothers day moms httpplurkcompstkr,2,Cluster 1,Negative,Neutral
happyskool let today last day yippee rip jackson tyler morris always loved never forgotten,2,Cluster 1,Negative,Neutral
got ta get creative mothers day gifts im gon na win love,2,Cluster 1,Negative,Positive
seniors last day,2,Cluster 1,Negative,Neutral
guess relaxing dinner movie tonighti looking forward day work,2,Cluster 1,Negative,Neutral
working vacation thailand getting excited every day,2,Cluster 1,Negative,Neutral
beautiful day outside today shame im stuck office blinds shut stop glare,2,Cluster 1,Negative,Positive
oh yippee lynz way gets celebrate mothers day first time mother,2,Cluster 1,Negative,Neutral
havin much better day today finished last twilight book yesterday classes start next week get yall,2,Cluster 1,Negative,Neutral
day beasted,2,Cluster 1,Negative,Neutral
happy mothers day mom every mom everywhere stroll beaches laterhopefully,2,Cluster 1,Negative,Neutral
relaxing thank hope get put feet tomorrow enjoy day,2,Cluster 1,Negative,Positive
herefinally yay seriously made day oh fellow hell ruler,2,Cluster 1,Negative,Positive
rain almost perfect day clothes wet,2,Cluster 1,Negative,Neutral
searching home things cook dinner evening mothers day guess im eating,2,Cluster 1,Negative,Neutral
happy mothers day mommies,2,Cluster 1,Negative,Positive
enjoying mothers day,2,Cluster 1,Negative,Positive
wishing mommies happy day,2,Cluster 1,Negative,Positive
happy star wars day may th read httptinyurlcomaxsujx,2,Cluster 1,Negative,Positive
month put weeks notice little week ago last day friday,2,Cluster 1,Negative,Neutral
lazy day playing xbox drinking tea,2,Cluster 1,Negative,Positive
getting ready bed happy mothers day mothers,2,Cluster 1,Negative,Positive
please read blog httpamandallynnblogspotcom im best day,2,Cluster 1,Negative,Positive
may fourth happy star wars day,2,Cluster 1,Negative,Positive
cant believe drove way back schoolwhatever happy mothers day mommy precious candis granny,2,Cluster 1,Negative,Neutral
thats good day,2,Cluster 1,Negative,Positive
httptwitpiccomvdc lexus twitpic happy mothers day lexus hopw nice one,2,Cluster 1,Negative,Neutral
mothers day today,2,Cluster 1,Negative,Neutral
happy mothers day mommies woman man long youre momma someone day,2,Cluster 1,Negative,Neutral
happy moms day moms,2,Cluster 1,Negative,Positive
happy mommas day honor moms sign maternalhealth heres mothers luvin kids httpbitlybpekk,2,Cluster 1,Negative,Neutral
goooodnight everyone happy mothers day mothers,2,Cluster 1,Negative,Neutral
happy mothers day,2,Cluster 1,Negative,Positive
happy may day star wars day,2,Cluster 1,Negative,Positive
happy mothers day,2,Cluster 1,Negative,Positive
ok think take attitude mothers day invented hallmark holiday,2,Cluster 1,Negative,Neutral
happy birthday,2,Cluster 1,Negative,Positive
happy mothers day mums,2,Cluster 1,Negative,Positive
happy mothers day,2,Cluster 1,Negative,Positive
work day,2,Cluster 1,Negative,Neutral
happy mothers day mothers,2,Cluster 1,Negative,Positive
happy mothers day,2,Cluster 1,Negative,Positive
hope mums mothers day love close family friends,2,Cluster 1,Negative,Positive
finished church happy mothers day,2,Cluster 1,Negative,Neutral
dinner fam grandma mothers day,2,Cluster 1,Negative,Neutral
woke gon na shower go nans mothers day lunch happy mothers day,2,Cluster 1,Negative,Neutral
yes today star wars day may th,2,Cluster 1,Negative,Positive
wishing mothers happy mothers day,2,Cluster 1,Negative,Positive
wants greet moms happy mothers day may enjoy day,2,Cluster 1,Negative,Positive
happy mothers day beautiful mommies,2,Cluster 1,Negative,Positive
dont feel pressure right happy mothers day people,2,Cluster 1,Negative,Neutral
new day new home happy mom day,2,Cluster 1,Negative,Neutral
awww happy birthday,2,Cluster 1,Negative,Positive
also happy star wars day,2,Cluster 1,Negative,Positive
dont even wii b likes xbox thats use,2,Cluster 1,Negative,Neutral
wishes realized wife hadnt held onto debit card took long walk get lunch grrr,2,Cluster 1,Negative,Neutral
spoilt shes like hard put front people shes really young,2,Cluster 1,Negative,Neutral
adafranco working woo hoo alas unable obtain elita daughter,2,Cluster 1,Negative,Neutral
thats great news,2,Cluster 1,Negative,Positive
school guy like talking girl cant stand ppl soooughhhh,2,Cluster 1,Negative,Neutral
alreay feel hang soooo worth,2,Cluster 1,Negative,Neutral
cleaning time soon,2,Cluster 1,Negative,Neutral
low low low low low low low low low,2,Cluster 1,Negative,Negative
monk neither elp,2,Cluster 1,Negative,Neutral
henrie would still rather shoes instead bed bc work tommorow love cold weather,2,Cluster 1,Negative,Neutral
malware work pc miss dept,2,Cluster 1,Negative,Neutral
heeeey dear finally found,2,Cluster 1,Negative,Neutral
study talk later,2,Cluster 1,Negative,Neutral
knew horse called dollar,2,Cluster 1,Negative,Neutral
starbucks mother,2,Cluster 1,Negative,Neutral
ah getting still fair bit go coming together fairly well aw,2,Cluster 1,Negative,Neutral
know call duty scenario game called nazi zombies awesome scary time,2,Cluster 1,Negative,Neutral
lol whispering dont get trouble almost feels great home feeling like kids,2,Cluster 1,Negative,Positive
httptwitpiccomjcf looks great love way bottom,2,Cluster 1,Negative,Positive
writing first tweet,2,Cluster 1,Negative,Neutral
know thx ill ok,2,Cluster 1,Negative,Positive
discovered painful sunburn right sholder hopefully turns tan,2,Cluster 1,Negative,Neutral
hah thanks,2,Cluster 1,Negative,Positive
deff workin weekened,2,Cluster 1,Negative,Neutral
ok thats sleep time,2,Cluster 1,Negative,Neutral
nice start holiday,2,Cluster 1,Negative,Positive
took times get wall killed lb dummy cant drag seconds,2,Cluster 1,Negative,Neutral
accidentaly slammed finger trunk,2,Cluster 1,Negative,Neutral
lock getting better staying,2,Cluster 1,Negative,Neutral
oh totally want see star trek kristine already seen hubby,2,Cluster 1,Negative,Neutral
think found httpbitlypj cant play,2,Cluster 1,Negative,Neutral
finally shifted twhirl tweetdeck filter close friends updates happy monday peeps,2,Cluster 1,Negative,Neutral
must morrisons,2,Cluster 1,Negative,Neutral
nooooo hate traffic,2,Cluster 1,Negative,Negative
miss,2,Cluster 1,Negative,Negative
sorry missed tweet nice long chat across border pastel want recipe email,2,Cluster 1,Negative,Neutral
cupcakes gave heartburn,2,Cluster 1,Negative,Neutral
got followers like someone follow please,2,Cluster 1,Negative,Positive
ii grr oooh aiden lol x,2,Cluster 1,Negative,Neutral
pandora blocked work bummed,2,Cluster 1,Negative,Neutral
never cease amaze,2,Cluster 1,Negative,Negative
lick sounds like need week digital detox,2,Cluster 1,Negative,Neutral
need somewhere new,2,Cluster 1,Negative,Neutral
panasonic chargersorry,2,Cluster 1,Negative,Neutral
ill back home monday,2,Cluster 1,Negative,Neutral
thats much better flu syndrome,2,Cluster 1,Negative,Positive
prob sexy site,2,Cluster 1,Negative,Positive
hate skint anybody want give another job haha,2,Cluster 1,Negative,Positive
johnny actually invited movies many things concert,2,Cluster 1,Negative,Neutral
years left dell okc last time geeky girl waited cry got car love,2,Cluster 1,Negative,Neutral
windows open cold ahahah,2,Cluster 1,Negative,Neutral
jayr oh know budgeting,2,Cluster 1,Negative,Neutral
would wasnt working today,2,Cluster 1,Negative,Neutral
favourite photo took last night httptinyurlcomotosz cant wait see pics,2,Cluster 1,Negative,Neutral
email em email gave u thanx awesome person,2,Cluster 1,Negative,Neutral
trance drumnbass awesome working dances,2,Cluster 1,Negative,Positive
omg hahaha thought joking twittering hahaha awesome good times,2,Cluster 1,Negative,Positive
wish could buy blink presale tickets totally dont money right guess wait general admission,2,Cluster 1,Negative,Neutral
art history quiz didnt study,2,Cluster 1,Negative,Neutral
welsh name,2,Cluster 1,Negative,Neutral
loving hot weather forecast rest week summer almost heeeeere,2,Cluster 1,Negative,Neutral
yaaaaaay get see looking forward cupcakes fun,2,Cluster 1,Negative,Neutral
xox oh god everyones dying mainly justin depressing,2,Cluster 1,Negative,Neutral
httpbitlyfm alone disbelief quite happy evolution beats alternatives posited,2,Cluster 1,Negative,Neutral
haha better life go get drinks soon jury duty boring,2,Cluster 1,Negative,Positive
know got ta wait earl think late wrong,2,Cluster 1,Negative,Neutral
moment fly car,2,Cluster 1,Negative,Neutral
watkins oh gosh ian always miss,2,Cluster 1,Negative,Neutral
painting nails green attempt look like army person annoyed everyone seems tan apart freckles sunburn,2,Cluster 1,Negative,Neutral
super bueno ftw proud guys,2,Cluster 1,Negative,Positive
fieldnotes ordered th still havent arrived weeks still books,2,Cluster 1,Negative,Neutral
watching jon kate plus cant believe theyre divorcing,2,Cluster 1,Negative,Neutral
work man bad job whole team want leave believe would make money wasnt,2,Cluster 1,Negative,Neutral
oh sure get everything live like celebrities,2,Cluster 1,Negative,Neutral
know lots emails answer home tomorrow,2,Cluster 1,Negative,Neutral
good cholesterol good tumors,2,Cluster 1,Negative,Positive
tease cant wait til sunday nothing november oh well wait,2,Cluster 1,Negative,Neutral
loaded box recyle stuff salvation armybut took corner fasteverything backmight recycle dump,2,Cluster 1,Negative,Neutral
looks like eprocurement email address office mate blacklisted asking whitelist,2,Cluster 1,Negative,Neutral
got home work looking forward tomorrow morning oh tomorrow night great,2,Cluster 1,Negative,Neutral
know feeling little depressing,2,Cluster 1,Negative,Positive
feeling like romeo juliet bryant wallinwood montagues capulets fb,2,Cluster 1,Negative,Neutral
schulz lucky u park maybe short period really stuff done untill wed,2,Cluster 1,Negative,Neutral
hot weather freezing oz moment miss summer,2,Cluster 1,Negative,Neutral
uhoooh throat scratchy,2,Cluster 1,Negative,Neutral
man wont home co host xoblair,2,Cluster 1,Negative,Neutral
haha yeah constant,2,Cluster 1,Negative,Positive
see christoph please tell lunch packed morning left fridge,2,Cluster 1,Negative,Neutral
would like yesterday talked alyso stoner xd benton sent private messae coment,2,Cluster 1,Negative,Neutral
hahaha wont tell,2,Cluster 1,Negative,Positive
ughhhhhhhhhhhh,2,Cluster 1,Negative,Neutral
got much gray hair sudden ordered garnier roasted coffee drugstorecom well see goes,2,Cluster 1,Negative,Neutral
dont know gon na lame fridaay maybe see besties,2,Cluster 1,Negative,Neutral
geez u obvious,2,Cluster 1,Negative,Neutral
may suggest httptrimkxkw,2,Cluster 1,Negative,Neutral
lmfaaoooo watched pink videoyou know well love itsoooo lol,2,Cluster 1,Negative,Positive
lol thats hubbys think wives nuts,2,Cluster 1,Negative,Positive
apparently even novell moonlight doesnt work jaunty,2,Cluster 1,Negative,Neutral
people mustaches get super powers mustaches fair,2,Cluster 1,Negative,Positive
got three shots today cant lift arms,2,Cluster 1,Negative,Neutral
reason corona light tastes much better alone httptwitpiccomwa,2,Cluster 1,Negative,Neutral
let right one aparently drag hell also horrible cat nastiness,2,Cluster 1,Negative,Negative
trying recover photos problem windows xd card result shots half visible microsoft,2,Cluster 1,Negative,Neutral
well,2,Cluster 1,Negative,Positive
anisalovesu upsetespecially fear wont get jared hug tomorrow,2,Cluster 1,Negative,Neutral
yet would like know okay mum ask mumm hopefuly gon na tell us soon,2,Cluster 1,Negative,Neutral
guess interested,2,Cluster 1,Negative,Positive
hate funerals,2,Cluster 1,Negative,Negative
dont know means sorry,2,Cluster 1,Negative,Neutral
saw walking back starbucks orange beetle,2,Cluster 1,Negative,Neutral
got back grandparents suprise th anniversary partyit sooooo much fun,2,Cluster 1,Negative,Neutral
early,2,Cluster 1,Negative,Neutral
wish blog working properly great followfriday blog post wanted showcase,2,Cluster 1,Negative,Neutral
mmmm sounds tasty spiced rum earlier yummmmmyyyy also herbs always good although better shared,2,Cluster 1,Negative,Neutral
oh opera google friendly weeps,2,Cluster 1,Negative,Positive
well another family chosen child interviewed back looking another kid,2,Cluster 1,Negative,Neutral
also like aasman ke paar shaayad,2,Cluster 1,Negative,Neutral
hates bleech messed black outfit,2,Cluster 1,Negative,Negative
spent whole dream cooking delicious meal woke got try,2,Cluster 1,Negative,Neutral
ship landed,2,Cluster 1,Negative,Neutral
kyle make fart noises armpit,2,Cluster 1,Negative,Neutral
hope schools gon na good tomorrow,2,Cluster 1,Negative,Positive
feel like cause couldnt sleep last night went sleep n bk soooo tired,2,Cluster 1,Negative,Neutral
bet sexy added u myspace,2,Cluster 1,Negative,Positive
dyed hair,2,Cluster 1,Negative,Neutral
mean monday take test monday please please,2,Cluster 1,Negative,Neutral
need blackberry,2,Cluster 1,Negative,Neutral
found book starting real paperbound journal tonight annoying zit lip makes look like herpes,2,Cluster 1,Negative,Neutral
like mine green somehow doesnt taste minty otherwise heh heh,2,Cluster 1,Negative,Neutral
scratchy scratchy throat warm fluids needed,2,Cluster 1,Negative,Neutral
sweet saw last year kenny sugarland kenny year seen b love gknight,2,Cluster 1,Negative,Neutral
got followed one says doesnt talk god peoplei wonder talks goddess people,2,Cluster 1,Negative,Neutral
wee arr sowbur promiss styoopid flying thing hazzunt kum owt agane itt iz hyding sumware larffing att us,2,Cluster 1,Negative,Neutral
